id,nama,email,password,preferensi,alergi,created_at,updated_at
1,"Alice Johnson",alicejohnson@user.com,$2y$10$WprFFXm6E3yyGqdskS7fuOuefUKFWwedG23TMRCj5ZAcnKe2rTy9.,normal,seafood,"2025-01-06 02:38:10","2025-01-06 02:38:10"
2,"Bob Smith",bobsmith@user.com,$2y$10$qSK9IJUxUoKCg94mw7jKNu8iwC6z2ENfychwXByEZ44ok1DDDTH4q,vegan,peanut,"2025-01-06 02:38:10","2025-01-06 02:38:10"
3,"Charlie Brown",charliebrown@user.com,$2y$10$NrH6amJSE90eTt1lU0dg2Ohfk6oBzlFzQ4aDK.BQ5uq43Cfm3l2qa,normal,seafood,"2025-01-06 02:38:10","2025-01-06 02:38:10"
4,"David Clark",davidclark@user.com,$2y$10$mL/8ERL/fqIJd0khr9sMpuJ0OKhVWA.SeEkQ/awKTcwWSLCpzdbxq,normal,none,"2025-01-06 02:38:10","2025-01-06 02:38:10"
5,"Eva White",evawhite@user.com,$2y$10$LLtzbgZnqoW.kazeNO2U6.C8y/lhWCB/9OOllJv5tZ9V0/xeBXHwu,vegan,none,"2025-01-06 02:38:10","2025-01-06 02:38:10"
6,"Frank Harris",frankharris@user.com,$2y$10$DSdMUYPUfseG1f0x0vl9AuhrDXxlDDOthXlOK.KlevQJaj1XnrwOi,normal,peanut,"2025-01-06 02:38:10","2025-01-06 02:38:10"
7,"Grace Lee",gracelee@user.com,$2y$10$hjn.LL2BDnTlpveOWHzraeby05NAzq/WMDmtnIvNrL.SymHArTqS6,vegan,tofu,"2025-01-06 02:38:10","2025-01-06 02:38:10"
8,"Henry Scott",henryscott@user.com,$2y$10$s2YtkJgHA0DXLLVKva.DU.yelNs4uASEe6lFm1dAa9zBjYybo02Y.,normal,milk,"2025-01-06 02:38:10","2025-01-06 02:38:10"
9,"Isabella Moore",isabellamoore@user.com,$2y$10$EiujSROJiYf78CSij2KX1OyxmusEqEw8ebwRfxQ891RkQOT9oNt2K,vegan,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
10,"Jack Taylor",jacktaylor@user.com,$2y$10$Vb/G97QmATjjUuiWPoYQUeMFdyzA5eITAtKkyqgIW4To5Xfjtv4My,normal,hazelnut,"2025-01-06 02:38:11","2025-01-06 02:38:11"
11,"Kathy Wilson",kathywilson@user.com,$2y$10$wHWH3LmcPBrVVW0qhFwiFOGuILiEMZFBJakl5V2tMvyt2/KGGy3FO,vegan,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
12,"Liam Moore",liammoore@user.com,$2y$10$6KuwS68grkzVfAyH79Om0uf8F2GXitaVCF7x3FhfJJ9VqSKOM29Y6,normal,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
13,"Megan Martinez",meganmartinez@user.com,$2y$10$tmmlW/IWEoriS8fRXwaY0eyTmoEnq/fl0QsNW335blKcxPW4MinTq,vegan,peanut,"2025-01-06 02:38:11","2025-01-06 02:38:11"
14,"Nina Davis",ninadavis@user.com,$2y$10$XTpy/kdYj330B9t0pQKqyOAGzDN6eO2cqkTdf8SO2ltKErmfRkif6,normal,seafood,"2025-01-06 02:38:11","2025-01-06 02:38:11"
15,"Oliver King",oliverking@user.com,$2y$10$hL8x3gCGdJHCXPs7drSgiOsyAL1XRWmBulCSCv1oJgAvYq3tg4lyO,normal,seafood,"2025-01-06 02:38:11","2025-01-06 02:38:11"
16,"Penny Adams",pennyadams@user.com,$2y$10$OPeEWGRp6b5yP08nY3UeeeB5bedQAGsKyuXxYhody8h8.vLcTPMLi,vegan,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
17,"Quincy Taylor",quincytaylor@user.com,$2y$10$sxbIDD6qlD8kfLg4TKBn9eZAaIRQ.jg1Wj8kZ3gAGSrNCZuK1Uosa,normal,milk,"2025-01-06 02:38:11","2025-01-06 02:38:11"
18,"Rachel Brown",rachelbrown@user.com,$2y$10$RVkF1tD5/smWpS5/XDsPoOTAo6b5kUUVd2DmcHv/Vn3P9HadIlija,vegan,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
19,"Sam Green",samgreen@user.com,$2y$10$shGmK7sTjv1nYigEvZ9w3OWNIYA41iP7dUtQipM498X3K7KmpeHFa,normal,hazelnut,"2025-01-06 02:38:11","2025-01-06 02:38:11"
20,"Tina Foster",tinafoster@user.com,$2y$10$1w3RRQKYZ/5Z7pwtLZpfYOWh5pEhCN/P9AM0u2OnsJA/WvAMkf.Nu,vegan,tofu,"2025-01-06 02:38:11","2025-01-06 02:38:11"
21,"Ursula Grant",ursulagrant@user.com,$2y$10$rPjNSt1Nr53IIU2UCGlAK.kDrB9h0SJXno5EvIKLFROKf9mEKKlyW,normal,none,"2025-01-06 02:38:11","2025-01-06 02:38:11"
22,"Victor Lee",victorlee@user.com,$2y$10$kSLYK4hA06O.9c36Yz/F4er954qIOAzaW5Zxu50h697utocYZ8nYS,normal,peanut,"2025-01-06 02:38:12","2025-01-06 02:38:12"
23,"Wendy Harris",wendyharris@user.com,$2y$10$02bw7w2HPqU2oATCY20Fg.itY2.LptdahlWopHJ9b2JsPyKAUsRZu,vegan,none,"2025-01-06 02:38:12","2025-01-06 02:38:12"
24,"Xander Clark",xanderclark@user.com,$2y$10$uNMnxAjRZCrjrrffSCsDZ.muJWGySDiFxlqOzXwJXXwhyAJ2U.nrW,normal,milk,"2025-01-06 02:38:12","2025-01-06 02:38:12"
25,"Yara Scott",yarascott@user.com,$2y$10$gjqryKxopBWAEKkfDF/HZ.BbAGQ8oo3OWFHE9hRf5p3ExGj6x6Nfm,vegan,none,"2025-01-06 02:38:12","2025-01-06 02:38:12"
26,"Zara Williams",zarawilliams@user.com,$2y$10$Kwxe/FwBmTPaLWgdTZ.WQONB4yAGemEHLqsvL.hbxbg1GP.3B.a5e,spicy,tofu,"2025-01-06 02:38:12","2025-01-06 02:38:12"
27,"Ethan Brown",ethanbrown@user.com,$2y$10$2PUCRv/tr/z.t9LHIDtYPuOTylzoLLQBLSXWcq09xcvdmZKidomnm,spicy,seafood,"2025-01-06 02:38:12","2025-01-06 02:38:12"
28,"Sophia Miller",sophiamiller@user.com,$2y$10$BstSLmVL3IO9RKU4MSxI1O2txbZgegYcd.9Ar.osPjMbhf2mmSqKq,spicy,none,"2025-01-06 02:38:12","2025-01-06 02:38:12"
29,"Anna Green",annagreen@user.com,$2y$10$v2745gTcxlBwpcoNFq2cHuPMgwpbu0oJNziSIncQRQp/hBo078/jK,vegan,none,"2025-01-06 02:38:12","2025-01-06 02:38:12"
30,"Brian Taylor",briantaylor@user.com,$2y$10$kTKMGdbyafPf/RJc17ItJ.yhR9PPxA5adAgkhoAzh4JdC206jH1RW,vegan,milk,"2025-01-06 02:38:12","2025-01-06 02:38:12"
31,"Chloe White",chloewhite@user.com,$2y$10$OKAqZNRapZuXQHNk9gWIKO85miYkBSbLj0nsQgqURLtiTL3M0foku,spicy,peanut,"2025-01-06 02:38:12","2025-01-06 02:38:12"
32,"Alice Cooper",alicecooper@user.com,$2y$10$3EQxh2zhvCf9O2Ct5arnkum9NsAT9U5ds0Cp16POtJIMCuOJ9.aPe,vegan,peanut,"2025-01-06 02:38:12","2025-01-06 02:38:12"
33,"Bob Dylan",bobdylan@user.com,$2y$10$WZowEZGUv22Xktp8369FDuG8FA/SVy2l/5.hzsHGZudRhz0RggskO,normal,seafood,"2025-01-06 02:38:12","2025-01-06 02:38:12"
34,"Charlie Daniels",charliedaniels@user.com,$2y$10$LmYTM/I7RI1D0oHsEkecJuKDx6RTSkRuKJi5UzJr71npZqPCkr8ji,spicy,none,"2025-01-06 02:38:12","2025-01-06 02:38:12"
35,"Diana Smith",dianasmith@user.com,$2y$10$SJY4QWpPF9MrnG5w4Gv6EO8dO/A8GFxeSg2lplhVRGqfCyflp36dS,normal,milk,"2025-01-06 02:38:13","2025-01-06 02:38:13"
36,"Eva Gomez",evagomez@user.com,$2y$10$iwoprOysWiH5CEfEqJoVUuXwCxRBCJMifFq5muHFEum24iVNLZXNS,vegan,hazelnut,"2025-01-06 02:38:13","2025-01-06 02:38:13"
37,"Liam Neeson",liamneeson@user.com,$2y$10$BMksupnMBe2WuZh3l2U9x.GbYgHb4YpFCIS6AKq.deexiyBl5L6Ke,spicy,milk,"2025-01-06 02:38:13","2025-01-06 02:38:13"
38,"Olivia Brown",oliviabrown@user.com,$2y$10$b.i9Vq9R3jsI2K03Sx1fKux/IH81vWJwpwPujhWQURVNhFVzYd9Em,normal,seafood,"2025-01-06 02:38:13","2025-01-06 02:38:13"
39,"Mason Green",masongreen@user.com,$2y$10$3Z5QMZnV/gt5ESHbSJGhzOk0lpkHlTLvqUH9E49xZqhDDOIA5P54m,vegan,tofu,"2025-01-06 02:38:13","2025-01-06 02:38:13"
40,"Natalie King",natalieking@user.com,$2y$10$l89ouhBMyYG2H6UPvBclq.UrrqMJeX3CQwyu8YYPJgokOq3ZgjeSa,normal,none,"2025-01-06 02:38:13","2025-01-06 02:38:13"
41,"Oliver James",oliverjames@user.com,$2y$10$Dts5oAWz5/bydVyIgGKt.OKZ3iCseLXHc9KpZUZJr1u6ZkP47cdmO,spicy,none,"2025-01-06 02:38:13","2025-01-06 02:38:13"
42,"Sophia Clark",sophiaclark@user.com,$2y$10$id8X99TJIRiEjmtHoguLT.Zvws3qOpd3eacYx.fNa83yKElzQTSS6,vegan,peanut,"2025-01-06 02:38:13","2025-01-06 02:38:13"
43,"Jackson Scott",jacksonscott@user.com,$2y$10$x6ix/2.Bvlf7nDFfogPvX.PsNzyI1BwTxyW6IEqnbwrromVB9uSWu,normal,hazelnut,"2025-01-06 02:38:13","2025-01-06 02:38:13"
44,"Chloe Harris",chloeharris@user.com,$2y$10$FJb8ZZNTz.6zLNGgKVEbDeiYFaOivwwnh.Mt4lioqIhTvGIIQOVk6,spicy,seafood,"2025-01-06 02:38:13","2025-01-06 02:38:13"
